# Table from Clouard and Bonneville, GSA Spec Paper, 2005 (their table 2)
# 1/24/2007:	Modified Hawaii-Emperor data to account for Sharp & Clague, 2006, Science
#		Commented out Yuriyaku which is clearly too young.
#		Added Tokelau and Gilbert ages from Koppers and Staudigel, 2005, Science
# 1/28/2008:	Added updated values from Koppers et al, 2003 GGG, and Mahoney et al, 2005 for Shatsky
# 9/15/2008:	New prelim ages for Samoa from Koppers et al, 2008 [Now commented out]
# 6/14/2012:	New ages for Samoa from Koppers et al., 2011a
# 6/14/2012:	New ages for Louisville from Koppers et al., 2011b
#		Sites with more than one distinct ages are named NAME-A, NAME-B, with A youngest
# 9/22/2013:	New ages for Hawaii from O'Connor et al., 2013
#
#Lon	Lat	Average_age(Ma)	Average_error(Ma)	Tag	Name(island,seamount,plateau_or_sample)	Island_or_seamount_chain
#-------------------------------AUSTRAL---------------------------------
199.60	9.10	78.70	1.30	128D-11			LI	Line_Islands
195.60	8.30	71.50	3.10	130D			LI	Line_Islands
195.0	9.0	69.41	0.33	SO33-D49		LI	Line_Islands
198.50	8.10	39.30	1.50	Stanley_(RD33)		LI	Line_Islands
197.1	6.30	69.76	0.26	Kingman_Reef_(SO33-D29)	LI	Line_Islands
199.75	5.83	76.40	0.50	123D-15			LI	Line_Islands
201.50	4.20	91.20	2.70	DSDP-site315		LI	Line_Islands
202.65	2.10	35.50	0.90	RD41-1			LI	Line_Islands
204.72	0.70	59.00	0.80	RD43-1			LI	Line_Islands
208.50	-7.50	71.90	1.40	Wageman_(RD44-3)	LI	Line_Islands
209.60	-9.00	70.50	1.10	RD45-26D		LI	Line_Islands
#-------------------------------LOUISVILLE------------------------------
220.80	-50.43	1.112	0.042	Mthn7			LV	Louisville
211.20	-48.20	13.20	0.20	Mthn6			LV	Louisville
194.65	-40.783	33.9	0.3	VM36-02			LV	Louisville
195.80	-41.61	36.50	0.40	Valerie			LV	Louisville
190.20	-36.95	46.3	0.9	Vm4			LV	Louisville
192.30	-38.32	45.50	0.80	Vm3			LV	Louisville
188.80	-33.94	53.50	2.60	Vm5			LV	Louisville
186.75	-30.10	61.40	0.50	Currituck(Sotw9-48)	LV	Louisville
185.80	-27.28	68.9	0.6	Sotw9-52		LV	Louisville
184.97	-25.53	76.7	0.80	Osbourn_Sotw9-58-A	LV	Louisville
184.97	-25.53	78.8	1.30	Osbourn_Sotw9-58-B	LV	Louisville
185.66	-27.52	70.8	0.4	AMAT-1D‐1		LV	Louisville
185.66	-27.52	70.8	0.4	AMAT-1D‐3		LV	Louisville
185.66	-27.52	69.6	0.5	AMAT-1D‐5		LV	Louisville
#190.10	-35.84	too-altered	AMAT-6D‐2		LV	Louisville
#190.10	-35.84	too-altered	AMAT-6D‐3		LV	Louisville
191.34	-38.17	50.1	0.4	AMAT-10D‐2		LV	Louisville
191.34	-38.17	49.4	0.6	AMAT-10D‐3		LV	Louisville
191.34	-38.17	50.2	0.5	AMAT-10D‐4		LV	Louisville
191.74	-38.04	50.9	0.5	AMAT-7D‐1		LV	Louisville
191.74	-38.04	48.4	0.3	AMAT-7D‐3		LV	Louisville
191.74	-38.04	47.4	0.5	AMAT-7D‐6		LV	Louisville
192.38	-39.22	43.9	0.3	AMAT-14D‐11		LV	Louisville
192.38	-39.22	44.7	0.4	AMAT-14D‐9		LV	Louisville
192.75	-39.52	45.1	0.3	AMAT-15D‐1a		LV	Louisville
193.36	-39.68	43.3	0.4	AMAT-16D‐1		LV	Louisville
193.96	-39.87	41.3	0.3	AMAT-17D‐1		LV	Louisville
194.26	-40.45	41.0	0.5	AMAT-20D‐15B		LV	Louisville
194.26	-40.45	39.6	0.3	AMAT-20D‐17		LV	Louisville
194.26	-40.45	39.9	0.6	AMAT-20D‐17		LV	Louisville
194.26	-40.45	39.4	0.2	AMAT-20D‐3		LV	Louisville
194.26	-40.45	40.4	0.3	AMAT-20D‐8		LV	Louisville
194.26	-40.45	39.8	0.3	AMAT-20D‐9		LV	Louisville
#194.31	-40.43	too-altered	AMAT-19D‐1		LV	Louisville
194.54	-40.74	39.6	0.8	AMAT-22D‐3		LV	Louisville
194.54	-40.74	38.9	1.2	AMAT-22D‐4		LV	Louisville
196.30	-41.88	34.5	0.2	AMAT-24D‐2		LV	Louisville
196.30	-41.88	33.7	0.5	AMAT-24D‐3		LV	Louisville
196.30	-41.88	34.7	0.5	AMAT-24D‐6		LV	Louisville
198.51	-43.58	30.3	0.2	AMAT-26D‐1		LV	Louisville
198.51	-43.58	29.5	0.3	AMAT-26D‐3		LV	Louisville
#198.51	-43.58	too-altered 	AMAT-26D‐7		LV	Louisville
198.51	-43.58	32.2	0.3	AMAT-26D‐9		LV	Louisville
199.38	-43.99	29.3	0.3	AMAT-27D‐1		LV	Louisville
199.38	-43.99	26.3	0.2	AMAT-27D‐13		LV	Louisville
199.38	-43.99	26.7	0.2	AMAT-27D‐7		LV	Louisville
200.19	-44.27	25.6	0.2	AMAT-28D‐1		LV	Louisville
201.53	-44.84	26.0	0.3	AMAT-30D‐7		LV	Louisville
201.53	-44.84	26.2	0.2	AMAT-30D‐8		LV	Louisville
201.53	-44.84	26.3	0.3	AMAT-30D‐8		LV	Louisville
202.27	-45.38	24.6	0.2	AMAT-31D‐17		LV	Louisville
202.27	-45.38	23.9	0.3	AMAT-31D‐2		LV	Louisville
202.27	-45.38	24.6	0.3	AMAT-31D‐5		LV	Louisville
204.12	-46.22	21.7	0.3	AMAT-33D‐1		LV	Louisville
204.12	-46.22	21.5	0.2	AMAT-33D‐2		LV	Louisville
204.12	-46.22	21.6	0.2	AMAT-33D‐3		LV	Louisville
204.12	-46.23	21.3	0.2	AMAT-32D‐5		LV	Louisville
# Koppers et al, 2012 Nat. Geosc.
185.27	-26.49	74.2	0.5	330-U1372A		LV	Louisville
186.72	-28.57	69.5	0.4	330-U1373A		LV	Louisville
186.62	-28.60	67.4	2.3	330-U1374A-61R		LV	Louisville
186.62	-28.60	71.1	0.9	330-U1374A-63R		LV	Louisville
186.62	-28.60	70.5	0.7	330-U1374A-64R		LV	Louisville
188.12	-32.22	64.1	0.5	330-U1376A		LV	Louisville
#-------------------------------MAGELLAN--------------------------------
153.6	19.50	74	0	Seamount_D4		MG	Magellan
154.30	17.12	95.51	0.45	Vlinder			MG	Magellan
154.00	17.00	101.17	0.23	Vlinder_NW_pedestal	MG	Magellan
154.30	16.40	95.39	0.67	Oma_Vlinder		MG	Magellan
155.10	15.70	91.29	0.25	Pako			MG	Magellan
155.90	14.15	87.14	0.35	Ioah			MG	Magellan
156.70	13.00	118.59	0.4	Ita_Mai			MG	Magellan
#-------------------------------MARCUS-WAKE-----------------------------
159.30	23.70	101.60	0.70	Scripps			SW	Marcus-Wake
#159.50	21.50	87.20	0.30	Lamont_(A5-22)		SW	Marcus-Wake
163.30	21.20	90.60	0.30	Wilde			SW	Marcus-Wake
161.90	21.70	96.80	0.60	Miami			SW	Marcus-Wake
157.15	21.05	99.12	0.37	Maloney			SW	Marcus-Wake
156.20	20.90	103.45	0.55	Jennings		SW	Marcus-Wake
151.78	21.50	119.75	0.34	Himu			SW	Marcus-Wake
151.70	19.70	99.84	0.27	Hemler			SW	Marcus-Wake
# Alcatraz had typo of lat = 42.10.  Fixed 6/16/2011 PW
149.95	24.10	112.7	0.8	Alcatraz		SW	Marcus-Wake
#-------------------------------MARQUESAS-------------------------------
219.41	-7.90	4.80	0.14	Hatutaa_(Hatutu)	MQ	Marquesas
219.90	-8.90	3.76	0.06	Nuku_Hiva		MQ	Marquesas
219.85	-9.40	2.56	0.07	Ua_Pou-A		MQ	Marquesas
219.85	-9.40	3.26	0.06	Ua_Pou-B		MQ	Marquesas
220.50	-8.90	1.89	0.10	Ua_Huka			MQ	Marquesas
221.08	-9.43	2.59	0.06	Fatu_Huku		MQ	Marquesas
222.27	-9.66	2.63	0.19	Dumont_D'Urville_(Dh21)	MQ	Marquesas
221.00	-9.75	2.44	0.03	Hiva_Oa			MQ	Marquesas
220.90	-10.00	1.91	0.02	Tahuata			MQ	Marquesas
221.20	-10.00	2.17	0.06	Motane			MQ	Marquesas
220.85	-10.10	1.84	0.04	Dh-19			MQ	Marquesas
221.44	-10.80	1.34	0.1	Motu_Nao		MQ	Marquesas
221.40	-10.50	1.30	0.03	Fatu_Hiva		MQ	Marquesas
221.50	-10.80	0.45	0.07	Dh-12			MQ	Marquesas
219.33	-8.00	5.46	0.09	Eiao			MQ	Marquesas
220.00	-7.90	5.30	0.30	Banc_Jean_Goguel	MQ	Marquesas
#-------------------------------MARSHALL--------------------------------
163.00	16.00	85.27	0.36	North_Wod-En		MA	Marshall
162.93	15.28	75.7	0.9	South_Wod-En		MA	Marshall
160.90	14.30	102.77	0.34	Neen-Koiaak		MA	Marshall
#167.60	13.90	78.6	0.90	Woden-Kopakut_(Ratak)	MA	Marshall
167.65	13.90	82.7	2.25	Woden-Kopakut_(Ratak)	MA	Marshall
#163.60	13.80	82.40	2.4	Lobbadede		MA	Marshall
163.62	13.87	94.3	0.5	Lobbadede		MA	Marshall
164.90	12.00	81.87	0.5	Wodejebato_(Sylvania)	MA	Marshall
166.20	12.10	138.84	0.42	Look			MA	Marshall
162.20	11.50	75.84	0.57	Anewetak		MA	Marshall
160.50	10.80	82.10	0.70	Likelep_(Lalibjet)	MA	Marshall
#169.8	8.90	87.30	0.60	Lokkworkwor_(Erikub)	MA	Marshall
#172.40	5.60	68.21	0.51	Limalok_(Harrie)	MA	Marshall
160.85	10.50	81.2	0.5	Lajutkwa		MA	Marshall
160.67	10.27	79.7	0.4	Lotab			MA	Marshall
160.53	9.76	80.1	0.5	Ujlan			MA	Marshall
161.48	11.85	85.5	0.6	Lami			MA	Marshall
162.87	10.10	113.0	0.9	Lo-En			MA	Marshall
163.17	8.87	109.5	1.0	Mij-Lep			MA	Marshall
153.15	21.37	102.1	0.4	Golden_Dragon		MA	Marshall
154.93	20.95	96.7	0.9	Missy			MA	Marshall
#-------------------------------MID-PAC---------------------------------
173.80	21.20	123.10	0.60	Heezen			MP	Mid_Pacific_Mountains
#176.70	19.40	98.50	1.40	Jacqueline		MP	Mid_Pacific_Mountains
#180.30	18.50	101.20	0.80	Allison-A		MP	Mid_Pacific_Mountains
180.30	18.50	110.7	1.20	Allison-B		MP	Mid_Pacific_Mountains
176.10	17.80	89.0	10.0	Renard			MP	Mid_Pacific_Mountains
174.50	21.20	127.60	2.10	Resolution(ODP866)	MP	Mid_Pacific_Mountains
#-------------------------------MUSICIAN--------------------------------
193.00	34.00	95.80	0.53	NW_Cluster		MU	Musician
194.20	32.50	94.00	1.05	Hammerstein		MU	Musician
